Appointment_ID,Orders,MDL_No (from Orders),Order No.,Last Name,First Name,First_Last_Calculated,Firm,Attorney,Canonical_Name (from Attorney),Appoint,Remove,Interim,Appointment Types,Appointee Type,Plaintiff/Defendant
2187-229-399,2187-229,2187,2187-229,Baggett,Renee,Renee Baggett,AYLSTOCK WITKIN KREIS & OVERHOLTZ,199-D. Renee Baggett,D. Renee Baggett,checked,,,Management,Individual,Plaintiff
2187-229-400,2187-229,2187,2187-229,Balefsky,Lee,Lee Balefsky,KLINE & SPECTER,200-Lee B. Balefsky,Lee B. Balefsky,checked,,,Management,Individual,Plaintiff
2187-229-401,2187-229,2187,2187-229,Bell,Harry,Harry Bell,THE BELL LAW FIRM,194-Harry F. Bell,Harry F. Bell,checked,,,Management,Individual,Plaintiff
2187-229-402,2187-229,2187,2187-229,Blizzard,Ed,Ed Blizzard,"Blizzard, McCarthy & Nabers",201-Edward F. Blizzard,Edward F. Blizzard,checked,,,Management,Individual,Plaintiff
2187-229-403,2187-229,2187,2187-229,Blue,Lisa,Lisa Blue,,202-Lisa B. Baron,Lisa B. Baron,checked,,,Management,Individual,Plaintiff
2187-229-404,2187-229,2187,2187-229,Burnett,Riley,Riley Burnett,"LAW OFFICES OF RILEY L. BURNETT, JR.",203-Riley L. Burnett,Riley L. Burnett,checked,,,Management,Individual,Plaintiff
2187-229-405,2187-229,2187,2187-229,Cartmell,Tom,Tom Cartmell,WAGSTAFF & CARTMELL,81-Thomas P. Cartmell,Thomas P. Cartmell,checked,,,Management,Individual,Plaintiff
2187-229-406,2187-229,2187,2187-229,Chaffin,Eric,Eric Chaffin,CHAFFIN LUHANA LLP,205-Eric T. Chaffin,Eric T. Chaffin,checked,,,Management,Individual,Plaintiff
2187-229-408,2187-229,2187,2187-229,Clark,Clayton,Clayton Clark,CLARK LOVE & HUTSON,191-Clayton A. Clark,Clayton A. Clark,checked,,,Management,Individual,Plaintiff
2187-229-409,2187-229,2187,2187-229,Conroy,Jayne,Jayne Conroy,HANLY CONROY BIERSTEIN SHERIDAN FISHER & HAYES,36-Jayne Conroy,Jayne Conroy,checked,,,Management,Individual,Plaintiff
2187-229-410,2187-229,2187,2187-229,Copeland,Erin,Erin Copeland,FIB!CH HAMPTON LEEBRON BRIGGS & JOSEPHSON,206-Erin K. Copeland,Erin K. Copeland,checked,,,Management,Individual,Plaintiff
2187-229-411,2187-229,2187,2187-229,Crump,Martin,Martin Crump,DAVIS & CRUMP,187-Martin D. Crump,Martin D. Crump,checked,,,Management,Individual,Plaintiff
2187-229-412,2187-229,2187,2187-229,De Bartolomeo,A.,A. De Bartolomeo,GIRARD GIBBS,207-Anne M. J. de Bartolomeo,Anne M. J. de Bartolomeo,checked,,,Management,Individual,Plaintiff
2187-229-413,2187-229,2187,2187-229,Eskin,Amy,Amy Eskin,HERSH & HERSH,192-Amy Eskin,Amy Eskin,checked,,,Management,Individual,Plaintiff
2187-229-414,2187-229,2187,2187-229,Farrell,Paul,Paul Farrell,GREENE KETCHUM BAILEY WALKER FARRELL & TWEEL,184-Paul T. Farrell,Paul T. Farrell,checked,,,Management,Individual,Plaintiff
2187-229-415,2187-229,2187,2187-229,Fitzpatrick,Fidelma,Fidelma Fitzpatrick,MOTLEY RICE,208-Fidelma L. Fitzpatrick,Fidelma L. Fitzpatrick,checked,,,Management,Individual,Plaintiff
2187-229-416,2187-229,2187,2187-229,Flaherty,Yvonne,Yvonne Flaherty,LOCKRIDGE GRINDAL NAUEN,112-Yvonne M. Flaherty,Yvonne M. Flaherty,checked,,,Management,Individual,Plaintiff
2187-229-417,2187-229,2187,2187-229,Flowers,Pete,Pete Flowers,FOOTE MEYERS MIELKE & FLOWERS,209-Peter J. Flowers,Peter J. Flowers,checked,,,Management,Individual,Plaintiff
2187-229-418,2187-229,2187,2187-229,Frankovitch,Carl,Carl Frankovitch,FRANKOVITCH ANETAKIS COLANTONIO & SIMON,195-Carl N. Frankovitch,Carl N. Frankovitch,checked,,,Management,Individual,Plaintiff
2187-229-419,2187-229,2187,2187-229,Garrard,Henry,Henry Garrard,BLASINGAME BURCH GARRARD & ASHLEY,182-Henry G. Garrard III,Henry G. Garrard III,checked,,,Management,Individual,Plaintiff
2187-229-420,2187-229,2187,2187-229,Goetz,Michael,Michael Goetz,MORGAN & MORGAN,210-Michael Goetz,Michael Goetz,checked,,,Management,Individual,Plaintiff
2187-229-421,2187-229,2187,2187-229,Goss,Tim,Tim Goss,FREESE & GOSS,84-Tim K. Goss,Tim K. Goss,checked,,,Management,Individual,Plaintiff
2187-229-422,2187-229,2187,2187-229,Grand,Jeff,Jeff Grand,BERNSTEIN LIEBHARD,211-Jeffrey S. Grand,Jeffrey S. Grand,checked,,,Management,Individual,Plaintiff
2187-229-423,2187-229,2187,2187-229,Harvey,Todd,Todd Harvey,"Burke Harvey & Frankowski, LLC",212-William T. Harvey,William T. Harvey,checked,,,Management,Individual,Plaintiff
2187-229-424,2187-229,2187,2187-229,Hauer,Stacy,Stacy Hauer,JOHNSON BECKER,213-Stacy Hauer,Stacy Hauer,checked,,,Management,Individual,Plaintiff
2187-229-425,2187-229,2187,2187-229,Love,Scott,Scott Love,CLARK LOVE & HUTSON,214-Scott A. Love,Scott A. Love,checked,,,Management,Individual,Plaintiff
2187-229-426,2187-229,2187,2187-229,Maniatis,Victoria,Victoria Maniatis,SANDERS VIENER GROSSMAN,215-Victoria J. Maniatis,Victoria J. Maniatis,checked,,,Management,Individual,Plaintiff
2187-229-427,2187-229,2187,2187-229,Matthews,Dave,Dave Matthews,MATTHEWS & ASSOCIATES,216-David P. Matthews,David P. Matthews,checked,,,Management,Individual,Plaintiff
2187-229-428,2187-229,2187,2187-229,Meadow,Rick,Rick Meadow,THE LANIER LAW FIRM,217-Richard D. Meadow,Richard D. Meadow,checked,,,Management,Individual,Plaintiff
2187-229-429,2187-229,2187,2187-229,Menzies,Karen,Karen Menzies,ROBINSON CALCAGNIE ROBINSON SHAPIRO DAVIS,80-Karen B. Menzies,Karen B. Menzies,checked,,,Management,Individual,Plaintiff
2187-229-430,2187-229,2187,2187-229,Miller,Mike,Mike Miller,The Miller Firm LLC,218-Michael J. Miller,Michael J. Miller,checked,,,Management,Individual,Plaintiff
2187-229-431,2187-229,2187,2187-229,Monsour,Doug,Doug Monsour,THE MONSOUR LAW FIRM,219-Douglas C. Monsour,Douglas C. Monsour,checked,,,Management,Individual,Plaintiff
2187-229-432,2187-229,2187,2187-229,Mueller,Mark,Mark Mueller,MUELLER LAW,220-Mark R. Mueller,Mark R. Mueller,checked,,,Management,Individual,Plaintiff
2187-229-433,2187-229,2187,2187-229,Nast,Dianne,Dianne Nast,RODANAST,18-Dianne M. Nast,Dianne M. Nast,checked,,,Management,Individual,Plaintiff
2187-229-434,2187-229,2187,2187-229,O'Dell,Leigh,Leigh O'Dell,BEASLEY ALLEN CROW METHVIN PORTIS & MILES,221-Patricia L. O'Dell,Patricia L. O'Dell,checked,,,Management,Individual,Plaintiff
2187-229-435,2187-229,2187,2187-229,Oliver,Alyson,Alyson Oliver,OLIVER LAW GROUP,222-Alyson Oliver,Alyson Oliver,checked,,,Management,Individual,Plaintiff
2187-229-436,2187-229,2187,2187-229,Osborne,J,J Osborne,BABBITT JOHNSON OSBORNE & LE CLAINCHE,223-Joseph A. Osborne,Joseph A. Osborne,checked,,,Management,Individual,Plaintiff
2187-229-437,2187-229,2187,2187-229,Parfitt,Michelle,Michelle Parfitt,ASHCRAFT & GEREL,224-Michelle A. Parfitt,Michelle A. Parfitt,checked,,,Management,Individual,Plaintiff
2187-229-438,2187-229,2187,2187-229,Parker,Jerry,Jerry Parker,PARKER WAICHMAN LLP,128-Jerrold S. Parker,Jerrold S. Parker,checked,,,Management,Individual,Plaintiff
2187-229-439,2187-229,2187,2187-229,Placitella,Chris,Chris Placitella,COHEN PLACITELLA & ROTH,226-Christopher M. Placitella,Christopher M. Placitella,checked,,,Management,Individual,Plaintiff
2187-229-440,2187-229,2187,2187-229,Potts,Derek,Derek Potts,THE POTTS LAW FIRM,190-Derek H. Potts,Derek H. Potts,checked,,,Management,Individual,Plaintiff
2187-229-441,2187-229,2187,2187-229,Price,Robert,Robert Price,LEVIN PAPANTONIO THOMAS MITCHELL RAFFERTY & PROCTOR,227-Robert E. Price,Robert E. Price,checked,,,Management,Individual,Plaintiff
2187-229-442,2187-229,2187,2187-229,Restaino,John,John Restaino,THE RESTAINO LAW FIRM,228-John M. Restaino,John M. Restaino,checked,,,Management,Individual,Plaintiff
2187-229-443,2187-229,2187,2187-229,Robins,Bill,Bill Robins,HEARD ROBINS CLOUD & BLACK,91-Bill Robins III,Bill Robins III,checked,,,Management,Individual,Plaintiff
2187-229-444,2187-229,2187,2187-229,Rogers,J.,J. Rogers,LAW OFFICES OF J. ROBERT ROGERS,229-James R. Rogers,James R. Rogers,checked,,,Management,Individual,Plaintiff
2187-229-445,2187-229,2187,2187-229,Salim,Robert,Robert Salim,LAW OFFICES OF ROBERT L. SALIM,231-Robert L. Salim,Robert L. Salim,checked,,,Management,Individual,Plaintiff
2187-229-446,2187-229,2187,2187-229,Saunders,Joe,Joe Saunders,SAUNDERS & WALKER,230-Joseph H. Saunders,Joseph H. Saunders,checked,,,Management,Individual,Plaintiff
2187-229-447,2187-229,2187,2187-229,Shkolnik,Hunter,Hunter Shkolnik,NAPOLI BERN RIPKA SHKOLNIK & ASSOCIATES,110-Hunter J. Shkolnik,Hunter J. Shkolnik,checked,,,Management,Individual,Plaintiff
2187-229-448,2187-229,2187,2187-229,Thompson,Fred,Fred Thompson,Motley Rice LLC,78-Fred Thompson III,Fred Thompson III,checked,,,Management,Individual,Plaintiff
2187-229-449,2187-229,2187,2187-229,Wages,Josh,Josh Wages,BLASINGAME BURCH GARRARD & ASHLEY,232-Josh B. Wages,Josh B. Wages,checked,,,Management,Individual,Plaintiff
2187-229-450,2187-229,2187,2187-229,Wagstaff,Amiee,Amiee Wagstaff,ANDRUS HOOD & WAGSTAFF,193-Aimee H. Wagstaff,Aimee H. Wagstaff,checked,,,Management,Individual,Plaintiff
2187-229-451,2187-229,2187,2187-229,Wallace,Edward,Edward Wallace,WEXLER WALLACE,234-Edward A. Wallace,Edward A. Wallace,checked,,,Management,Individual,Plaintiff
2187-229-452,2187-229,2187,2187-229,Wilner,Norwood,Norwood Wilner,WILNER HARTLEY & METCALF,185-Norwood S. Wilner,Norwood S. Wilner,checked,,,Management,Individual,Plaintiff
2187-229-453,2187-229,2187,2187-229,Wilson,Kim,Kim Wilson,LEWIS & ROBERTS,607-Gary L. Wilson,Gary L. Wilson,checked,,,Management,Individual,Plaintiff
2187-229-454,2187-229,2187,2187-229,Yaeger,Laura,Laura Yaeger,FLEMING NOLEN & JEZ,236-Laura V. Yaeger,Laura V. Yaeger,checked,,,Management,Individual,Plaintiff
2187-229-455,2187-229,2187,2187-229,Joe,Zonles,Zonles Joe,REILLY POZNER,79-Joseph J. Zonies,Joseph J. Zonies,checked,,,Management,Individual,Plaintiff
2187-654-456,2187-654,2187,2187-654,Williams,Marc,Marc Williams,,181-Marc E. Williams,Marc E. Williams,,checked,,Communications,Individual,Defendant
2187-654-457,2187-654,2187,2187-654,Bird,Melissa,Melissa Bird,"Nelson Mullins Riley & Scarborough, LLP",242-Melissa F. Bird,Melissa F. Bird,checked,,,Communications,Individual,Defendant
2187-656-458,2187-656,2187,2187-656,Allen,David,David Allen,Cohen & Malad,196-David B. Allen,David B. Allen,,checked,,Management,Individual,Plaintiff
2187-656-459,2187-656,2187,2187-656,De Bartolomeo,• A.,• A. De Bartolomeo,Girard Gibbs,207-Anne M. J. de Bartolomeo,Anne M. J. de Bartolomeo,,checked,,Management,Individual,Plaintiff
2187-656-460,2187-656,2187,2187-656,Parker,Jerry,Jerry Parker,Parker Waichman,128-Jerrold S. Parker,Jerrold S. Parker,,checked,,Management,Individual,Plaintiff
2187-656-461,2187-656,2187,2187-656,Rogers,J. R.,J. R. Rogers,Law Offices of J. Robert Rogers,229-James R. Rogers,James R. Rogers,,checked,,Management,Individual,Plaintiff
2187-656-462,2187-656,2187,2187-656,Shkolnik,Hunter,Hunter Shkolnik,Napoli Bern,110-Hunter J. Shkolnik,Hunter J. Shkolnik,,checked,,Management,Individual,Plaintiff
2187-656-463,2187-656,2187,2187-656,Yeager,Laura,Laura Yeager,Morgan & Morgan,236-Laura V. Yaeger,Laura V. Yaeger,,checked,,Management,Individual,Plaintiff
2187-656-464,2187-656,2187,2187-656,Hauer,Stacy,Stacy Hauer,Johnson Becker,213-Stacy Hauer,Stacy Hauer,,checked,,Management,Individual,Plaintiff
2187-656-465,2187-656,2187,2187-656,Beyea-Schroeder,Karen,Karen Beyea-Schroeder,"FLEMING, NOLEN & JEZ, L.L.P.",246-Karen H. Beyea-Schroeder,Karen H. Beyea-Schroeder,checked,,,Management,Individual,Plaintiff
2187-656-466,2187-656,2187,2187-656,Walker,Erik,Erik Walker,"Hissey Kientz, LLP",247-Erik B. Walker,Erik B. Walker,checked,,,Management,Individual,Plaintiff
2187-656-467,2187-656,2187,2187-656,Foley,John,John Foley,Simmons Browder Gianaris Angelides & Barnerd LLC,248-John J. Foley,John J. Foley,checked,,,Management,Individual,Plaintiff
2187-656-468,2187-656,2187,2187-656,Gorshe,Lisa,Lisa Gorshe,"Johnson Becker, PLLC",249-Lisa A. Gorshe,Lisa A. Gorshe,checked,,,Management,Individual,Plaintiff
2187-701-469,2187-701,2187,2187-701,Bell,Harry,Harry Bell,"The Bell Law Firm, PLLC",194-Harry F. Bell,Harry F. Bell,checked,,,Management,Individual,Plaintiff
2187-701-470,2187-701,2187,2187-701,Farrell,Paul,Paul Farrell,"Greene, Ketchum, Bailey, Walker, Farrell & Tweel",184-Paul T. Farrell,Paul T. Farrell,checked,,,Management,Individual,Plaintiff
2187-701-471,2187-701,2187,2187-701,Frankovitch,Carl,Carl Frankovitch,"Frankovitch, Anetakis, Colantonio & Simon",195-Carl N. Frankovitch,Carl N. Frankovitch,checked,,,Management,Individual,Plaintiff
2187-748-472,2187-748,2187,2187-748,Restaino,Jon,Jon Restaino,,228-John M. Restaino,John M. Restaino,,checked,,Management,Individual,Plaintiff
2187-748-473,2187-748,2187,2187-748,Moody,Willard,Willard Moody,"The Moody Law Firm, PLLC",251-Willard J. Moody Jr,Willard J. Moody Jr,checked,,,Management,Individual,Plaintiff
2187-748-474,2187-748,2187,2187-748,Lamb,Archibald,Archibald Lamb,"The Lamb Firm, L.L.C.",252-Archibald C. Lamb Jr,Archibald C. Lamb Jr,checked,,,Management,Individual,Plaintiff
2187-748-475,2187-748,2187,2187-748,Budd,Russell,Russell Budd,"Baron & Budd, P.C.",253-Russell W. Budd,Russell W. Budd,checked,,,Management,Individual,Plaintiff
2187-1744-476,2187-1744,2187,2187-1744,Garrard,Henry,Henry Garrard,"Blasingame, Burch, Garrard & Ashley, PC",182-Henry G. Garrard III,Henry G. Garrard III,checked,,,Fees,Individual,Plaintiff
2187-1744-477,2187-1744,2187,2187-1744,Rice,Joseph,Joseph Rice,"Motley Rice, LLC",254-Joseph F. Rice,Joseph F. Rice,checked,,,Fees,Individual,Plaintiff
2187-1744-478,2187-1744,2187,2187-1744,Clark,Clayton,Clayton Clark,"Clark, Love & Hutson, GP",191-Clayton A. Clark,Clayton A. Clark,checked,,,Fees,Individual,Plaintiff
2187-1744-479,2187-1744,2187,2187-1744,Frankovitch,Carl,Carl Frankovitch,"Frankovitch, Anetakis, Colantonio & Simon",195-Carl N. Frankovitch,Carl N. Frankovitch,checked,,,Fees,Individual,Plaintiff
2187-1744-480,2187-1744,2187,2187-1744,Flaherty,Yvonne,Yvonne Flaherty,Lockridge Grindal Nauen,112-Yvonne M. Flaherty,Yvonne M. Flaherty,checked,,,Fees,Individual,Plaintiff
2187-1744-482,2187-1744,2187,2187-1744,Cartmell,Thomas,Thomas Cartmell,"Wagstaff & Cartmell, LLP",81-Thomas P. Cartmell,Thomas P. Cartmell,checked,,,Fees,Individual,Plaintiff
2187-1744-483,2187-1744,2187,2187-1744,Baggett,Renee,Renee Baggett,Aylstock Witkin Kreis & Overholtz,199-D. Renee Baggett,D. Renee Baggett,checked,,,Fees,Individual,Plaintiff
2187-1744-484,2187-1744,2187,2187-1744,Burnett,Riley,Riley Burnett,Burnett Law Firm,203-Riley L. Burnett,Riley L. Burnett,checked,,,Fees,Individual,Plaintiff
2187-1744-485,2187-1744,2187,2187-1744,McKee,William,William McKee,,255-F. William McKee,F. William McKee,checked,,,Fees,Individual,Plaintiff
2197-71-486,2197-71,2197,2197-71,Gordon,Ben,Ben Gordon,"Thomas, Mitchell, Eishner, Rafferty & Proctor PA",55-J. Gordon Rudd,J. Gordon Rudd,checked,,,Management,Individual,Plaintiff
2197-71-487,2197-71,2197,2197-71,Kennedy,R.,R. Kennedy,"Weisman, Kennedy, Berris",256-Robert E. Kennedy,Robert E. Kennedy,checked,,,Management,Individual,Plaintiff
2197-71-488,2197-71,2197,2197-71,Relkin,Ellen,Ellen Relkin,Weitz & Luxenberg,257-Ellen Relkin,Ellen Relkin,checked,,,"LeadCounsel,Management",Individual,Plaintiff
2197-71-489,2197-71,2197,2197-71,Robinson,Mark,Mark Robinson,Calcagnie & Robinson,258-Mark P. Robinson Jr,Mark P. Robinson Jr,checked,,,Management,Individual,Plaintiff
2197-71-490,2197-71,2197,2197-71,Seeger,Christopher,Christopher Seeger,Seeger Weiss LLP,130-Christopher A. Seeger,Christopher A. Seeger,checked,,,Management,Individual,Plaintiff
2197-71-491,2197-71,2197,2197-71,Skikos,Steven,Steven Skikos,"Skikos, Crawford, Skikos, Joseph & Millican",259-Steven J. Skikos,Steven J. Skikos,checked,,,"LeadCounsel,Management",Individual,Plaintiff
2197-71-492,2197-71,2197,2197-71,Alonso,Andres,Andres Alonso,Parker Waichman Alonso,260-Andres F. Alonso,Andres F. Alonso,checked,,,Management,Individual,Plaintiff
2197-71-493,2197-71,2197,2197-71,Berezofsky,Esther,Esther Berezofsky,Williams Cuker Berezofsky,261-Esther E. Berezofsky,Esther E. Berezofsky,checked,,,Management,Individual,Plaintiff
2197-71-494,2197-71,2197,2197-71,Blizzard,Ed,Ed Blizzard,"Blizzard, McCarthy & Nabers",201-Edward F. Blizzard,Edward F. Blizzard,checked,,,Management,Individual,Plaintiff
2197-71-495,2197-71,2197,2197-71,Conroy,Jayne,Jayne Conroy,Hanley Conroy,36-Jayne Conroy,Jayne Conroy,checked,,,Management,Individual,Plaintiff
2197-71-496,2197-71,2197,2197-71,Davis,Leonard,Leonard Davis,Herman Herman Katz & Cotlar,262-Leonard A. Davis,Leonard A. Davis,checked,,,Management,Individual,Plaintiff
2197-71-497,2197-71,2197,2197-71,Fleishman,Wendy,Wendy Fleishman,Lief Cabraser,177-Wendy R. Fleishman,Wendy R. Fleishman,checked,,,Management,Individual,Plaintiff
2197-71-498,2197-71,2197,2197-71,Gornick,Lawrence,Lawrence Gornick,"Levin, Simes, Kaiser & Gornick",263-Lawrence J. Gornick,Lawrence J. Gornick,checked,,,Management,Individual,Plaintiff
2197-71-499,2197-71,2197,2197-71,Katz,Saul,Saul Katz,"Simpson, Eldredge, Hersh & Jardine",479-Seth A. Katz,Seth A. Katz,checked,,,Management,Individual,Plaintiff
2197-71-500,2197-71,2197,2197-71,Lanier,Mark,Mark Lanier,Lanier Law Firm,71-W. Mark Lanier,W. Mark Lanier,checked,,,Management,Individual,Plaintiff
2197-71-501,2197-71,2197,2197-71,London,Michael,Michael London,Douglas & London,266-Michael A. London,Michael A. London,checked,,,Management,Individual,Plaintiff
2197-71-502,2197-71,2197,2197-71,Migliori,Donald,Donald Migliori,Motley Rice,34-Donald A. Migliori,Donald A. Migliori,checked,,,Management,Individual,Plaintiff
2197-71-503,2197-71,2197,2197-71,Polos,Peter,Peter Polos,"Panish, Shea & Boyle",267-Peter J. Polos,Peter J. Polos,checked,,,Management,Individual,Plaintiff
2197-71-504,2197-71,2197,2197-71,Ward,Navan,Navan Ward,Beasley Allen,268-Navan Ward Jr.,Navan Ward Jr.,checked,,,Management,Individual,Plaintiff
2197-71-505,2197-71,2197,2197-71,Kranz,Michelle,Michelle Kranz,Zoll Kranz & Borgess,269-Michelle L. Kranz,Michelle L. Kranz,checked,,,Communications,Individual,Plaintiff
2197-71-506,2197-71,2197,2197-71,Solomon,Amy,Amy Solomon,"Girardi, Keese",270-Amy F. Solomon,Amy F. Solomon,checked,,,Coordination,Individual,Plaintiff
2197-71-507,2197-71,2197,2197-71,Placitella,Christopher,Christopher Placitella,Cohen Placitella & Roth,226-Christopher M. Placitella,Christopher M. Placitella,checked,,,Coordination,Individual,Plaintiff
2197-71-508,2197-71,2197,2197-71,Baron,Steven,Steven Baron,Baron & Budd,272-Steven T. Baron,Steven T. Baron,checked,,,Expert,Individual,Plaintiff
2197-71-509,2197-71,2197,2197-71,DeGaris,Annesley,Annesley DeGaris,Cory Watson,273-Annesley H. DeGaris,Annesley H. DeGaris,checked,,,Expert,Individual,Plaintiff
2197-71-510,2197-71,2197,2197-71,Restaino,John,John Restaino,Restaino Law Firm,228-John M. Restaino,John M. Restaino,checked,,,Expert,Individual,Plaintiff
2197-71-511,2197-71,2197,2197-71,Seeger,Ken,Ken Seeger,Seeger Salvas,274-Kenneth M. Seeger,Kenneth M. Seeger,checked,,,Expert,Individual,Plaintiff
2197-71-512,2197-71,2197,2197-71,Anapol,Thomas,Thomas Anapol,Anapol Schwartz,197-Thomas R. Anapol,Thomas R. Anapol,checked,,,Discovery,Individual,Plaintiff
2197-71-513,2197-71,2197,2197-71,Arsenault,Richard,Richard Arsenault,Neblett Beard & Arsenault,113-Richard J. Arsenault,Richard J. Arsenault,checked,,,Discovery,Individual,Plaintiff
2197-71-514,2197-71,2197,2197-71,Branch,Turner,Turner Branch,Branch Law Firm,6-Turner W. Branch,Turner W. Branch,checked,,,Discovery,Individual,Plaintiff
2197-71-515,2197-71,2197,2197-71,Bohrer,Philip,Philip Bohrer,Bohrer Law Firm,276-Philip Bohrer,Philip Bohrer,checked,,,Discovery,Individual,Plaintiff
2197-71-516,2197-71,2197,2197-71,Sistrunk,Hezekiah,Hezekiah Sistrunk,Cochran Law Firm,277-Hezekiah Sistrunk Jr,Hezekiah Sistrunk Jr,checked,,,Discovery,Individual,Plaintiff
2197-71-517,2197-71,2197,2197-71,Miracle,Trent,Trent Miracle,Simmons Browder,278-Trent B. Miracle,Trent B. Miracle,checked,,,Discovery,Individual,Plaintiff
2197-71-518,2197-71,2197,2197-71,Becker,Timothy,Timothy Becker,Zimmerman Reed,279-Timothy Becker,Timothy Becker,checked,,,Motions,Individual,Plaintiff
2197-71-519,2197-71,2197,2197-71,Sutton,Tara,Tara Sutton,Robins Kaplan Miller & Ceresi,57-Tara D. Sutton,Tara D. Sutton,checked,,,Motions,Individual,Plaintiff
2197-71-520,2197-71,2197,2197-71,Tucker,Robert,Robert Tucker,Tucker Ellis & West LLP,280-Robert C. Tucker,Robert C. Tucker,checked,,,LeadCounsel,Individual,Defendant
2197-71-521,2197-71,2197,2197-71,Sharko,Susan,Susan Sharko,Drinker Biddle & Reath LLP,281-Susan M. Sharko,Susan M. Sharko,checked,,,LeadCounsel,Individual,Defendant
2197-71-522,2197-71,2197,2197-71,Mayer,Kristen,Kristen Mayer,Tucker Ellis & West LLP,282-Kristen L. Mayer,Kristen L. Mayer,checked,,,Communications,Individual,Defendant
2197-958-523,2197-958,2197,2197-958,Skikos,Steven,Steven Skikos,"SKIKOS, CRAWFORD, SKIKOS & JOSEPH LLP",259-Steven J. Skikos,Steven J. Skikos,checked,,,Fees,Individual,Plaintiff
2197-958-524,2197-958,2197,2197-958,Seeger,Christopher,Christopher Seeger,SEEGER WEISS LLP,130-Christopher A. Seeger,Christopher A. Seeger,checked,,,Fees,Individual,Plaintiff
2197-958-525,2197-958,2197,2197-958,Kennedy,R.,R. Kennedy,"WEISMAN, KENNEDY & BERRIS CO., L.P.A.",256-Robert E. Kennedy,Robert E. Kennedy,checked,,,Fees,Individual,Plaintiff
2197-958-526,2197-958,2197,2197-958,Gordon,Ben,Ben Gordon,"LEVIN, PAPANTONIO, THOMAS,MITCHELL, EISHNER, RAFFERTY & PROCTOR PA",124-Benjamin W. Gordon,Benjamin W. Gordon,checked,,,Fees,Individual,Plaintiff
2197-958-527,2197-958,2197,2197-958,Rafferty,Troy,Troy Rafferty,"LEVIN, PAPANTONIO, THOMAS,MITCHELL, EISHNER, RAFFERTY & PROCTOR PA",283-Troy A. Rafferty,Troy A. Rafferty,checked,,,Fees,Individual,Plaintiff
2197-958-528,2197-958,2197,2197-958,Kelly,Michael,Michael Kelly,"WALKUP,MELODIA, KELLY & SCHONENBERGER",991-Michael A. Kelly,Michael A. Kelly,checked,,,Fees,Individual,Plaintiff
2197-958-529,2197-958,2197,2197-958,Baghdadi,Khaldoun,Khaldoun Baghdadi,"WALKUP,MELODIA, KELLY & SCHONENBERGER",285-Khaldoun A. Baghdadi,Khaldoun A. Baghdadi,checked,,,Fees,Individual,Plaintiff
2197-958-530,2197-958,2197,2197-958,Flowers,Peter,Peter Flowers,MEYERS & FLOWERS,209-Peter J. Flowers,Peter J. Flowers,checked,,,Fees,Individual,Plaintiff
2197-958-531,2197-958,2197,2197-958,Seeger,Kenneth,Kenneth Seeger,"SEEGER SALVAS, LLP",274-Kenneth M. Seeger,Kenneth M. Seeger,checked,,,Fees,Individual,Plaintiff
2197-958-532,2197-958,2197,2197-958,Gornick,Lawrence,Lawrence Gornick,"KAISER & GORNICK, LLP",263-Lawrence J. Gornick,Lawrence J. Gornick,checked,,,Fees,Individual,Plaintiff
2197-958-533,2197-958,2197,2197-958,Kaufman,Pete,Pete Kaufman,"PANISH, SHEA & BOYLE LLP",288-Peter L. Kaufman,Peter L. Kaufman,checked,,,Fees,Individual,Plaintiff
2197-958-534,2197-958,2197,2197-958,Robinson,Mark,Mark Robinson,"ROBINSON CALCAGNIE ROBINSON SHAPIRO DAVIS, INC.",258-Mark P. Robinson Jr,Mark P. Robinson Jr,checked,,,Fees,Individual,Plaintiff
2243-93-535,2243-93,2243,2243-93,,, ,"Carella, Byrne, Cecchi, Olstein Brody & Agnello, P.C.",,,checked,,,Communications,Firm,Plaintiff
2243-93-536,2243-93,2243,2243-93,,, ,"Seeger Weiss, LLP",,,checked,,,Communications,Firm,Plaintiff
2243-110-537,2243-110,2243,2243-110,,, ,Goodwin Pt cter LLP,,,checked,,,Communications,Firm,Defendant
2243-110-538,2243-110,2243,2243-110,,, ,Reed Smith LLP,,,checked,,,Communications,Firm,Defendant
2243-112-539,2243-112,2243,2243-112,Cecchi,James,James Cecchi,"Carella, Byrne, Cecchi,",176-James E. Cecchi,James E. Cecchi,checked,,,Management,Individual,Plaintiff
2243-112-540,2243-112,2243,2243-112,Seeger,Christopher,Christopher Seeger,Seeger Weiss LLP\,130-Christopher A. Seeger,Christopher A. Seeger,checked,,,Management,Individual,Plaintiff
2243-112-541,2243-112,2243,2243-112,Thompson,Fred,Fred Thompson,"Motley Rice, LLC",78-Fred Thompson III,Fred Thompson III,checked,,,Management,Individual,Plaintiff
2243-112-542,2243-112,2243,2243-112,Piscitelli,Frank,Frank Piscitelli,The Piscitelli LawlFirm,289-Frank E. Piscitelli Jr,Frank E. Piscitelli Jr,checked,,,Management,Individual,Plaintiff
2243-112-543,2243-112,2243,2243-112,Levin,Arnold,Arnold Levin,"Levin, Fishbein, Sedran & Berman",126-Arnold Levin,Arnold Levin,checked,,,Management,Individual,Plaintiff
2243-112-544,2243-112,2243,2243-112,Dickens,David,David Dickens,The Miller Firm L C,290-David J. Dickens,David J. Dickens,checked,,,Management,Individual,Plaintiff
