Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
2599-2162,2599,2162,Products Liability,2017-11-01,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",checked,,Final settlement for BMW,,,6
2599-2164,2599,2164,Products Liability,2017-11-01,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",checked,,,checked,,6
2599-2166,2599,2166,Products Liability,2017-11-01,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",,,Subaru,checked,,6
2599-2168,2599,2168,Products Liability,2017-11-01,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",,,Toyota final class settlement approval,checked,,6
2599-2385,2599,2385,Products Liability,2018-02-28,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",checked,,Final Honda approval,,,6
2599-2388,2599,2388,Products Liability,2018-02-28,MD,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,SettlementAdministration",checked,,,checked,,6
2599-2998,2599,2998,Products Liability,2018-09-05,MD,DJ,,,checked,1,,,,,,"ClassCounsel,SettlementAdministration",checked,checked,Ford preliminary approval,checked,,6
2599-3182,2599,3182,Products Liability,2018-12-20,MD,DJ,,,checked,1,,,,,,"ClassCounsel,SettlementAdministration",checked,checked,Ford final approval,checked,,6
2641-248,2641,248,Products Liability,2015-10-30,DGC,DJ,checked,,,3,,checked,,checked,,,,,,checked,,24
2641-4016,2641,4016,Products Liability,2016-11-16,DGC,DJ,,,,5,,checked,,checked,,"LeadCounsel,Management,Coordination,Communications",,,Weird structure. Lead counsel is also liaison and state/federal liaison,checked,,25
2642-112,2642,112,Products Liability,2016-03-17,JRT,DJ,checked,checked,,5,,checked,,checked,checked,,,,,,,14
2657-28,2657,28,Products Liability,2015-11-18,FDS,DJ,,,,3,,checked,,,,"LeadCounsel,Coordination,Management",,,,checked,,4
2657-115,2657,115,Products Liability,2015-12-17,FDS,DJ,checked,checked,,,,checked,,,,Management,,,,,,14
2657-630,2657,630,Products Liability,2017-03-15,FDS,DJ,,,,,,,,,,Communications,,,,checked,,3
2657-1486,2657,1486,Products Liability,2019-05-09,FDS,DJ,,,,,,,,,,Management,,,,checked,,1
2666-21,2666,21,Products Liability,2016-02-23,JNE,DJ,,checked,,4,,checked,,,,"LeadCounsel,Communications,Management",,,,checked,checked,23
2691-72,2691,72,Products Liability,2016-06-15,RS,DJ,,checked,,5,,checked,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,14
2734-8,2734,8,Products Liability,2016-10-19,MCR,DJ,,,,,,,,,,"LeadCounsel,Coordination",,checked,,checked,,3
2734-79,2734,79,Products Liability,2016-11-16,MCR,DJ,,checked,,8,,checked,,,,"LeadCounsel,Coordination,Management,Discovery,Settlement,Communications",,,Creates committees but doesn't appoint anyone to them,checked,checked,0
2734-143,2734,143,Products Liability,2016-12-16,MCR,DJ,checked,checked,,11,,,,,,"LeadCounsel,Management,Communications,Coordination,Settlement,Discovery,Fees",,,Creates joint discovery and settlement committees. Coded as Plaintiff side because database wasn't setup for multiple types ,,,23
2734-180,2734,180,Products Liability,2017-01-31,MCR,DJ,,,,,,,,,,"Discovery,Expert",,,,checked,checked,4
2738-72,2738,72,Products Liability,2016-12-06,FLW,DJ,,checked,checked,1,,checked,,,checked,ClassCounsel,checked,,,checked,,1
2738-73,2738,73,Products Liability,2016-12-06,FLW,DJ,checked,checked,,4,,,,,,"LeadCounsel,Management,Communications",,,,checked,,18
2738-9676,2738,9676,Products Liability,2019-04-30,FLW,DJ,,,,,,,,,,Management,,,,,,2
2740-4,2740,4,Products Liability,2016-10-13,KDE,DJ,,,,,,,,,,"Management,Communications",,checked,Specifies lead/liaison responsibilities without appointing anyone to positions ,checked,,0
2740-104,2740,104,Products Liability,2016-11-17,KDE,DJ,checked,checked,,3,,,,,,"Management,Communications",,,,checked,checked,17
2740-133,2740,133,Products Liability,2016-12-13,KDE,DJ,,,,1,,checked,,,,Settlement,,,,checked,checked,9
2740-156,2740,156,Products Liability,2016-12-30,JTM,DJ,,,,1,,checked,,,,Coordination,,,,checked,,1
2740-209,2740,209,Products Liability,2017-01-31,JTM,DJ,,,,,,,,,,Settlement,,,,,,2
2740-371,2740,371,Products Liability,2017-05-11,JTM,DJ,,,,1,,checked,,,,Settlement,,,,,checked,6
2740-5377,2740,5377,Products Liability,2018-11-28,JTM,DJ,,checked,,,,,,,,Settlement,,,,,,5
2740-5379,2740,5379,Products Liability,2018-11-28,JTM,DJ,,checked,,,,,,,,"Communications,Settlement",,,,,,5
2740-6018,2740,6018,Products Liability,2019-01-29,JTM,DJ,,checked,,,,,,,,"Communications,Management,Coordination",,,Reappoints ,checked,,21
2741-62,2741,2741,Products Liability,2016-12-07,VC,DJ,checked,checked,,3,,checked,,,checked,LeadCounsel,,,,checked,,5
2750-8,2750,8,Products Liability,2016-12-21,BRM,DJ,,,,,,checked,,,,"Communications,Management",,,Specifies functions of liaison and PSC without appointing anyone to them,checked,checked,0
2750-28,2750,28,Products Liability,2017-01-24,BRM,DJ,,checked,,3,,checked,,,,"Communications,LeadCounsel,Management",,,,,,14
2753-4,2753,4,Products Liability,2017-01-13,LM,DJ,,,,1,,,,,,LeadCounsel,,checked,Incorporates MCL provisions re: timekeeing,checked,,1
2753-10,2753,10,Products Liability,2017-03-17,LM,DJ,,checked,,4,,,,,,"LeadCounsel,Management,Communications,Coordination",,checked,,checked,,8
2753-40,2753,40,Products Liability,2017-03-13,LM,DJ,,,,,,checked,,,,"LeadCounsel,Management,Communications,Coordination",,,"Since appointments were entered in PTO 3, I didn't recode them here",checked,,0
2753-745,2753,745,Products Liability,2018-06-29,LM,DJ,,,,,,,,,,Management,,,"This is wild. PTO 3A gives the PSC authority to appoint new members. So PSC meets with other potential members adds a bunch itself

QUERY WHETHER THIS IS PROPERLY CONSIDERED AN ""ORDER""

ALSO NEED TO ADJUST JUDGE COUNTS -- THERE IS NO JUDGE FOR THIS ORDER",,,5
2754-26,2754,26,Products Liability,2017-04-10,DLC,DJ,,,,4,,checked,,,checked,"LeadCounsel,Management,Coordination",,,"Co-Liaison Counsel duties: 

d. To maintain in conjunction with their accountant records of receipts and disbursements advanced by members of the PSC and received by the PSC and to report in writing to the PSC concerning disbursements and receipts;
e. To act as the treasurer for any common benefit assessments and expenses, which shall be allocated to one of the Co-Liaison counsel, not both;

",checked,,16
2767-3,2767,3,Products Liability,2017-04-25,PAE,DJ,,,,1,,checked,,,checked,"LeadCounsel,Communications",,checked,,checked,,1
2767-37,2767,37,Products Liability,2017-06-16,PAE,DJ,,checked,,4,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,,15
2768-156,2768,156,Products Liability,2017-06-09,IT,DJ,checked,checked,,5,,checked,,,checked,"LeadCounsel,Communications,Coordination,Management",,,"Creates a leadership structure without appointing anyone to it. ""Plaintiffs’ Steering Committee and other plaintiffs’ counsel as may be appropriate) the position of the plaintiffs on all matters arising during pretrial proceedings"" ",checked,,0
2768-183,2768,183,Products Liability,2017-06-30,IT,DJ,,checked,,,,checked,,,checked,"LeadCounsel,Management,Communications,Coordination",,,,checked,,17
2775-94,2775,94,Products Liability,2017-06-28,CCB,DJ,,,,5,,checked,,,,"LeadCounsel,Communications,Management",,,Proposed order drafted by counsel,checked,,18
2775-108,2775,108,Products Liability,2017-07-19,CCB,DJ,,,,1,,checked,,,,Settlement,,,,checked,,2
2775-780,2775,780,Products Liability,2018-06-12,CCB,DJ,,,,,,,,,,Management,,,,,,7
2776-28,2776,28,Products Liability,2017-06-02,LGS,DJ,,checked,,3,,checked,checked,,,"LeadCounsel,Management,Communications",,checked,Creates positions and calls for applications,,,0
2776-55,2776,55,Products Liability,2017-07-13,LGS,DJ,,checked,,,,,,,,"LeadCounsel,Management,Communications",,,,checked,,7
2777-173,2777,173,Products Liability,2017-06-19,EMC,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Management,Coordination",,,,,,11
2777-561,2777,561,Products Liability,2019-05-03,EMC,DJ,,,checked,1,,,,,,SettlementAdministration,checked,,,,,10
2782-207,2782,207,Products Liability,2017-08-03,RWS,DJ,,,,2,,checked,,,,"LeadCounsel,Communications",,,,,checked,4
2782-215,2782,215,Products Liability,2017-08-16,RWS,DJ,,,,3,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,,12
2789-3,2789,3,Products Liability,2017-08-15,CCC,DJ,,,,1,,,,,,LeadCounsel,,,,checked,,1
2789-10,2789,10,Products Liability,2017-08-23,CCC,DJ,,checked,,3,,checked,,checked,checked,"LeadCounsel,Management",,,"Under no circumstances are co-lead counsel, the executive committee, or any member of
the PSC responsible for the filings. discovery, or any other issue or matter related to an
individual plaintifts case or claim. More specifically, the PSC is in no way responsible fbr the
attorney client relationship and the duties and responsibilities each individual attorney or law
rrn owe to their clients in prosecution of their individual case.",,,21
2792-6,2792,6,Products Liability,2017-10-13,D,DJ,,,,2,,,,,,,checked,checked,,checked,checked,2
2792-10,2792,10,Products Liability,2017-10-18,D,DJ,,,,,,,,,,Communications,,,,,checked,2
2792-52,2792,52,Products Liability,2017-12-06,D,DJ,,checked,,4,,checked,,,,"LeadCounsel,ClassCounsel,Management,Communications",checked,checked,,checked,checked,14
2792-160,2792,160,Products Liability,2019-06-07,D,DJ,,,,,,,,,,LeadCounsel,,,,,checked,3
2809-162,2809,162,Products Liability,2018-09-06,KKC,DJ,,,,5,,checked,checked,,,"LeadCounsel,Communications,Management,Coordination",,,,checked,,15
2814-25,2814,25,Products Liability,2018-05-08,AB,DJ,,,,2,,checked,,,checked,"LeadCounsel,Communications",,,,checked,,1
2816-57,2816,57,Products Liability,2018-05-31,JEJ,DJ,,,,3,,,,,,"LeadCounsel,Communications,Management",,,,,,7
2816-86,2816,86,Products Liability,2018-07-10,JEJ,DJ,,,,,,checked,,,,"LeadCounsel,Communications,Management",,,Specifies duties for committees created in CMO 3,,,0
2816-87,2816,87,Products Liability,2018-07-10,JEJ,DJ,,,,1,,,,,,Coordination,,,,checked,,3
2841-59,2841,59,Products Liability,2018-08-17,DPG,DJ,checked,checked,,3,,checked,,,checked,"LeadCounsel,Communications,Management",,,Interesting stuff on leaders' power to enter into stipulations,checked,,4
2846-16,2846,16,Products Liability,2018-09-19,EAS,DJ,,checked,,4,,checked,,,checked,"Management,Communications,LeadCounsel",,,"Under no circumstances are Co-Lead Counsel, Liaison Counsel, the members of the PEC, or any member of the PSC responsible for filings, discovery, or any other issue or matter related to an individual plaintiff's case or claim. More specifically, Co-Lead Counsel, Liaison Counsel, the members of the PEC, or any member of the PSC are in no way responsible for the attorneyclient relationship and the duties and responsibilities each individual attorney or law firm owe to their client(s) in the prosecution of their individual case(s).",checked,,15
2846-189,2846,189,Products Liability,2019-06-27,EAS,DJ,,,,4,,checked,,,checked,"Management,Communications,LeadCounsel",,,,checked,,17
2848-7,2848,7,Products Liability,2018-09-11,HB,DJ,,checked,,5,,checked,,checked,checked,"LeadCounsel,Management,Communications,Coordination",,,"Cnder no circumstances are Co-Lead counsel, the PEC or any member of the PSC responsible for the filings, discovery, or any other issue or matter related to an individual plaintiff's case or claim. More specifically, the PSC is in no way responsible for the attorneyclient relationship and the duties and responsibilities each individual attorney or law firm owe to their clients in prosecution of their individual case.",checked,,11
2848-19,2848,19,Products Liability,2018-09-25,HB,DJ,,,,1,,checked,,,,Coordination,,,,,checked,1
2848-277,2848,277,Products Liability,2019-04-25,HB,DJ,,,,,,,,,,Management,,,,checked,,1
2848-364,2848,364,Products Liability,2019-09-03,HB,DJ,,,,,,,,,,Management,,,,checked,,1
2848-765,2848,495,Products Liability,2020-02-04,HB,DJ,,,,,,,,,,Management,,,,checked,,1
2859-3,2859,3,Products Liability,2018-10-26,PAC,DJ,,,,1,,,,,checked,LeadCounsel,,checked,,checked,,3
2859-33,2859,33,Products Liability,2018-12-17,JMF,DJ,,checked,,2,,,,,,Management,,,"Tells leadership committees to submit orders with their own duties. Docket indicates assigned to Crotty but signed by Jesse Furman.

The Zimmer Defendants objected to Andrew Norden’s membership on the PEC absent an agreement to stay and coordinate all state court proceedings with these MDL proceedings. (Dkt. 10.) This Court overruled that objection and adopted Plaintiffs’ leadership structure as described above.



",checked,,7
2859,2859,2859,Products Liability,2019-01-30,PAC,DJ,,,,,,checked,checked,,,Management,,checked,"Really long specification of duties of PEC and PSC, including duty to contribute to common benefit fund ",,,0
2873-48,2873,48,Products Liability,2019-03-20,RMG,DJ,,,,7,,checked,,,checked,"LeadCounsel,Management,Communications",,,"Includes an ""Advisory Counsel to the PEC"" with one attorney (coded as Management)",checked,checked,31
2873-72,2873,72,Products Liability,2019-04-26,RMG,DJ,,,,1,,,,,,"Management,Coordination",,,,checked,checked,10
2873-130,2873,130,Products Liability,2019-06-26,RMG,DJ,,,,,,,,,checked,,,,,,,0
2873-391,2873,391,Products Liability,2019-11-01,RMG,DJ,,,,,,,,,,Coordination,,,,,checked,3
2873-529,2873,529,Products Liability,2020-03-23,RMG,DJ,checked,checked,,,,,,,,"LeadCounsel,Communications,Management,Coordination",,,Really big reappointment order. Includes Advisory Counsel to the PEC (coded as Management). Includes really big defense side structure. ,checked,checked,43
2873-5536,2873,529,Products Liability,2020-03-30,RMG,DJ,,,,,,,,,,Management,,,,checked,,0
2875-5,2875,5,Products Liability,2019-02-25,RBK,DJ,,,,1,,checked,,,,Communications,,checked,,,,0
2875-96,2875,96,Products Liability,2019-05-06,PBK,DJ,,,,7,,,,,,"LeadCounsel,Coordination,Management",,,"Creates separate PSCs for economic reimbursement and personal injury. Drafted by counsel. 

""Plaintiffs may establish PEC/PSC Committees to focus on particular areas of the litigation, including for example the TPP Committee comprised of co-chairs Andres Rivero, (Rivero Mestre), Gregory Hansel (Preti Flaherty), and Peter St Phillip (Lowey Dannenberg), and a Discovery Committee, Science Committee, Law and Briefing
Committee, Time and Expense Committee, and potentially others.""",,,45
2875-313,2875,313,Products Liability,2019-12-06,PBK,DJ,,,,,,,,,,Management,,,,,checked,1
2886-5,2886,5,Products Liability,2019-04-29,DCN,DJ,,,,1,,checked,,,,Communications,,,Defines duties of Liaison counsel prior to appointment ,checked,,0
2886-22,2886,22,Products Liability,2019-12-17,DCN,DJ,,,,5,,checked,checked,,checked,"LeadCounsel,Management,Communications",,,,checked,checked,12
2887-20,2887,20,Products Liability,2019-07-31,JAR,DJ,checked,checked,,5,,,,,checked,,checked,checked,"""Any non-lead counsel may file motions for relief from or to modify this or any other order of the Court, but are cautioned that they should do so only if there is a matter of the utmost importance that they have already unsuccessfully sought to have raised by their Lead Counsel.""

""Any proposed settlement that resolves, in whole or in part, the claims filed in this action shall first be subject to review and approval by the Court. Any discussions of such a settlement must be conducted by Plaintiffs’ Co-Lead Counsel.""",,,10
2441-5,2441,5,Products Liability,2013-07-05,DWF,DJ,,,,2,,,,,,"LeadCounsel,Communications",,,,checked,,2
2441-114,2441,114,Products Liability,2013-11-05,DWF,DJ,,,,4,,checked,,,,"LeadCounsel,Management,Communications",,,"Creates a ""Lead Counsel Committee."" Coded all members as LeadCounsel",checked,checked,29
2441-785,2441,785,Products Liability,2016-02-26,DWF,DJ,,,,1,,,,,,Fees,,,,checked,,4
2441-789,2441,789,Products Liability,2016-03-15,DWF,DJ,,,,,,,,,,Fees,,,,checked,,1
2441-1257,2441,1257,Products Liability,2019-04-25,DWF,DJ,,,,,,,,,,LeadCounsel,,,"Replaces Charles S. Zimmerman, who died. ",,,2
2326-3,2326,3,Products Liability,2012-02-29,JRG,DJ,,,,,,checked,,,,"LeadCounsel,Communications,Management",,checked,,checked,,0
2326-103,2326,103,Products Liability,2012-04-17,JRG,DJ,checked,checked,,7,,checked,,checked,,"LeadCounsel,Communications,Management",,,Super appointment order for four MDLs. Goes along with a consensus slate of a bazillion attorneys that the plaintiffs came up with themselves. ,checked,checked,76
2326-1289,2326,1289,Products Liability,2016-01-15,JRG,DJ,,,,1,,checked,,,,Fees,,,,,,9
2326-4178,2326,4178,Products Liability,2017-08-09,JRG,DJ,,,,,,,,,,LeadCounsel,,,,,checked,2
2326-7902,2326,7902,Products Liability,2019-03-13,JRG,DJ,,,,,,checked,,,,Fees,,,"Reappoints prior FCC. Note that order 7900 is identical, also issued the same day. Only entered once.",,,9
2327-6,2327,6,Products Liability,2012-02-29,JRG,DJ,,,,,,checked,,,,"Communications,Management",,,Specifies duties of PSC and Liaison counsel prior to appointment,,,0
2327-120,2327,120,Products Liability,2012-04-17,2012-04-17,DJ,checked,checked,,7,,checked,,,checked,"LeadCounsel,Management,Communications,Coordination",,,,checked,checked,16
2327-1845,2327,1845,Products Liability,2016-01-15,JRG,DJ,,,,1,,checked,,,,Fees,,,,checked,,9
2327-7644,2327,7644,Products Liability,2019-03-19,JRG,DJ,,,,,,checked,,,,Fees,,,Reappointment of fee committee,,,9
2672-545,2672,545,Products Liability,2016-01-05,CRB,DJ,,,checked,1,,,,,,"LeadCounsel,ClassCounsel",checked,,,checked,,1
2672-1084,2672,1084,Products Liability,2016-01-21,CRB,DJ,checked,checked,,3,,checked,,checked,checked,"LeadCounsel,Communications,Management",,,,checked,checked,22
2672-1256,2672,1256,Products Liability,2016-02-25,CRB,DJ,,,,1,,checked,,,,Coordination,,,Specifies functions State Court Liaison Counsel is to perform and calls for nominations. ,,,0
2672-1327,2672,1327,Products Liability,2016-03-04,CRB,DJ,,checked,,,,,,,,Coordination,,,,,,2
2672-1698,2672,1698,Products Liability,2016-07-29,CRB,DJ,,,checked,1,,,,,,SettlementAdministration,checked,checked,,checked,,22
2672-2023,2672,2023,Products Liability,2016-10-11,CRB,DJ,,,checked,1,,,,,,"LeadCounsel,ClassCounsel",checked,checked,,checked,,1
2672-2077,2672,2077,Products Liability,2016-10-18,CRB,DJ,,,checked,1,,,,,,"SettlementAdministration,ClassCounsel",,,,checked,,2
2672-5077,2672,5077,Products Liability,2018-06-07,CRB,DJ,,,checked,1,,checked,,,,"LeadCounsel,ClassCounsel",,,,checked,,4
2885-3,2885,3,Products Liability,2019-04-05,MCR,DJ,,,,1,,checked,,,,LeadCounsel,,checked,,checked,,1
2885-76,2885,76,Products Liability,2019-04-19,MCR,DJ,,,,12,,checked,,,checked,"LeadCounsel,Management,Communications,Discovery,Fees,Settlement",,,Includes several committee types we don't have as of 3/23. Emphasizes diversity; competitive application process.  Invites applications including law firm information form.,checked,checked,0
2885-376,2885,376,Products Liability,2019-05-22,MCR,DJ,checked,checked,,,,checked,,,checked,"LeadCounsel,Management,Communications,Discovery,Motions,Fees,Expert,Settlement",,checked,"Lots of committee types that we didn't have as of 3/23. Says that appointment decisions were made by ""the Panel.""",checked,checked,58
2885-453,2885,453,Products Liability,2019-06-20,MCR,DJ,,,,5,,,,,,"LeadCounsel,Communications,Discovery,Settlement",,,Also includes appointments to Armed Services Comm. and Statute of Limitations Comm.,,checked,10
2885-1130,2885,1130,Products Liability,2020-05-16,MCR,DJ,,checked,,,,,,,,"LeadCounsel,Management,Communications,Discovery,Motions,Fees,Expert,Settlement,Vetting",,,,checked,,55
2885-1131,2885,1131,Products Liability,2020-05-16,MCR,DJ,,checked,,,,,,,,"LeadCounsel,Management,Communications,Discovery,Motions,Fees,Expert,Settlement,Vetting",,,"Ministerial correction to 2885-1130
",checked,,56
2879-3,2879,3,Miscellanous,2019-02-13,PWG,DJ,,,,2,,checked,,,,Communications,,checked,Did this one with the RAs -- doublecheck later ,checked,checked,3
1700-2428,1700,2428,Employment Practices ,2011-01-19,RLM,DJ,,,,2,0,,,,,Communications,,,,checked,checked,5
2179-506,2179,506,Common Disaster,2010-10-08,CJB,DJ,,checked,,2,,checked,checked,,,Management,,,Plaintiffs Liaison Counsels James Roy and Stephen Herman were appointed to the Plaintiffs Executive Committee. PSC members Brian Barr and Scott Summy were also appointed to the Plaintiffs Executive Committee.,checked,,17
2179-2,2179,2,Common Disaster,2010-08-10,CJB,DJ,,,,4,,checked,checked,,,"Communications,Management",,checked,"Liaison counsels in consolidated action were appointed until a new liaison counsel was appointed. I considered this an ""interim"" appointment.

4 OUs created were: 1. Interim Liaison Counsel (Plaintiff); 2. Interim Liaison Counsel (Def), 3. PSC (No appointment yet), and 4. Def. SC. ",checked,,3
2179-110,2179,110,Common Disaster,2010-08-27,CJB,DJ,,,,3,,checked,,,,Communications,,,"Interim Co-Liaison Counsel James Roy and Stephen Herman were appointed Plaintiffs' Co-Liaison Counsel. They were also ordered to serve as ex officio members of the PSC, and act as members of the Executive Committee.
",checked,,2
2179-567,2179,567,Common Disaster,2010-10-19,CJB,DJ,,checked,,2,,,,,,"Management,Communications",,,,,checked,16
2179-4226,2179,4226,Common Disaster,2011-10-05,CJB,DJ,,checked,,,,checked,,,,"Management,Communications",,,All are reappointments except for Joseph Rice and Conrad Williams.,checked,,19
2179-5960,2179,5960,Common Disaster,2012-03-05,CJB,DJ,,,,1,,,,,,ClassCounsel,checked,,,checked,,2
2179-7350,2179,7350,Common Disaster,2012-09-10,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,,,19
2179-11557,2179,11557,Common Disaster,2013-10-01,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,checked,,18
2179-13817,2179,13817,Common Disaster,2014-12-10,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,checked,,18
2179-15394,2179,15394,Common Disaster,2015-09-28,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,checked,,18
2179-21767,2179,21767,Common Disaster,2016-10-04,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,checked,,18
2179-23456,2179,23456,Common Disaster,2017-09-29,CJB,DJ,,,,,,checked,,,,"Management,Communications",,,Reappointment,checked,,17
2179-25224,2179,25224,Common Disaster,2018-12-11,CJB,DJ,,,,,,,,,,"Management,Communications",,,"The Court no longer appointed/re-appointed members to the PSC, but retained the co-liaison counsel.",checked,,2
2331-390,2331,390,Products Liability,2018-04-12,CJB,DJ,,,,1,,checked,,,,Settlement,,,,checked,checked,3
2543-19,2543,19,Sales Practices,2014-06-24,JMF,DJ,,,,1,,checked,,,checked,LeadCounsel,,checked,,checked,,3
2543-249,2543,249,Sales Practices,2014-08-15,JMF,DJ,,checked,,4,,checked,,,,"LeadCounsel,Management,Communications,Coordination",,checked,,checked,,15
2543-304,2543,304,Sales Practices,2014-09-16,JMF,DJ,,,,,,checked,checked,checked,checked,"LeadCounsel,Communications,Coordination,Management",,checked,This is a separate order that outlined the duties and responsibilities of the appointed lawyers. This is not a reappointment.,checked,,15
2566-79,2566,79,Securities ,2014-12-23,TSH,DJ,,,,2,,checked,checked,,,"LeadCounsel,Management",,,,checked,,6
2566-116,2566,116,Securities ,2015-03-15,TSH,DJ,,,,2,,checked,checked,,,,,,,checked,,2
2595-12,2595,12,Miscellanous,2015-04-13,KOB,DJ,,,,2,,,,,,"LeadCounsel,Communications",,,,checked,,4
2595-14,2595,14,Miscellanous,2015-04-16,KOB,DJ,,checked,,3,,checked,checked,,,,checked,,,checked,,11
2595-16,2595,16,Miscellanous,2015-05-11,KOB,DJ,,,,,,,,,,Management,,,Removal of one PSC member,,,2
2595-202,2595,202,Miscellanous,2018-12-19,KOB,DJ,,,,1,,,,,,Settlement,,,Appointment of co-lead counsel as settlement counsel,checked,,2
1916-103,1916,103,Miscellanous,2008-08-12,KAM,DJ,,,,1,,,,,,LeadCounsel,,,Co-lead counsel designated only for the derivative actions. ,checked,,2
1916-147,1916,147,Miscellanous,2008-09-19,KAM,DJ,checked,checked,,1,,,,,,LeadCounsel,,,This appointment is to serve as lead counsel only of a single case in the MDL and arouse out of a leadership dispute between two plaintiffs that was later resolved via stipulation. Judge Marra initially requested applications from both plaintiffs in Doc. 130. It is not an appointment to be lead counsel of the entire MDL. ,checked,,1
2009-59,2009,59,Securities ,2010-11-05,SHM,DJ,,,,2,,,,,,"LeadCounsel,Communications",,,"Order names only firms, not individual lawyers to serve as lead and liaison counsel. Names Barroway Topaz Kessler Meltzer & Cheek, LLP as lead counsel and Bramlett Law Offices as liason counsel. This ruling appears only to relate to a certain group of four actions, not the entire MDL. ",checked,,2
1570-9212,1570,9212,Common Disaster,2023-07-17,GBD,DJ,checked,,,,,,,,,,,checked,Removes members of PEC who leaked deposition transcript as sanction,checked,,4
2885-1795,2885,1795,Products Liability,2021-05-26,MCR,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Discovery,Motions,Fees,Expert,Settlement",,,"Continues a number of committees and subcommittees, but these are unchanged from entry #1131. Most of the attorneys are reappointments, but there are some new attorneys.",checked,,47
2885-2177,2885,2177,Products Liability,2021-10-06,MCR,DJ,,,,,,,,,,"Motions,Management",,,Adds members to the PSC and Law & Briefing Subcommittee,checked,,6
2885-3080,2885,3080,Products Liability,2022-05-06,MCR,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Fees,Discovery,Vetting,Expert,Motions,Settlement",,,"Does not create any new units but continues with the structure laid out in previous orders. Most attorneys were reappointed, however there are several new appointments and some did not reapply. ",checked,,63
2885-3734,2885,3734,Products Liability,2023-05-15,MCR,DJ,,checked,,,,,,,,,,,Requests applications to re-appoint P's leadership in previous order #3717,checked,,65
2885-3863,2885,3863,Products Liability,2023-09-11,MCR,DJ,,,,,11,,,,,"LeadCounsel,Communications,Management,Discovery,Motions,Fees,Expert,Settlement,Vetting",,,Terminates all appointments with the exception of Bryan Aylstock as lead counsel.,checked,,1
2879-238,2879,238,Miscellanous,2019-04-29,PWG,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Management,Communications,ClassCounsel",checked,checked,"Creates sub-OU's for each plaintiff type. All co-lead counsel are ""designated as Co-Interim Class Counsel"" but is unclear whether the order is referring to all attorneys designated as co-lead counsel or merely those designated as co-lead counsel for the securities actions. ",checked,checked,43
2879-1015,2879,1015,Miscellanous,2022-05-03,PWG,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Continues appointments set out in #238 alongside naming class counsel. ,checked,,3
2875-455,2875,455,Products Liability,2020-06-03,RBK,DJ,,,,,,,,,,Management,,,Expands PSC created in #96,checked,,4
2857-500,2875,500,Products Liability,2020-06-29,RBK,DJ,,,,,,,,,,Management,,,Moved to be withdrawn from PSC in #494,checked,,1
2875-540,2875,540,Products Liability,2020-08-04,RBK,DJ,,,,,,,,,,Management,,,Replacement for withdrawal in previous order,checked,,1
2875-1957,2875,1957,Products Liability,2022-03-03,RBK,DJ,,,,1,,,,,,Settlement,,,,checked,checked,13
2875-1997,2875,1997,Products Liability,2022-04-08,RBK,DJ,,,,,,,,,,Management,,,Court notes Savin is removed from PSC but I cannot locate the order originally appointing him,checked,,7
2875-2261,2875,2261,Products Liability,2023-02-08,RBK,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Order has a typo in Gemen's name,checked,,2
2633-35,2633,35,Miscellanous,2015-08-07,MHS,DJ,,checked,,2,,,,,,"LeadCounsel,Communications",checked,,,checked,,7
2633-43,2633,43,Miscellanous,2015-10-06,MHS,DJ,,,,3,,checked,checked,,,"LeadCounsel,Communications,Management",checked,,,checked,,10
2738-22196,2738,22196,Products Liability,2021-06-03,LHG,MJ,,,,1,,checked,,,,Communications,,,Appointment of a pro se liaison counsel,checked,,1
2738-26586,2738,26586,Products Liability,2022-12-08,FLW,DJ,,,,1,,,,,,Management,,,,checked,,1
2768-1574,2768,1574,Products Liability,2012-12-16,IT,DJ,,,,1,,checked,,,,SettlementAdministration,,,,checked,,5
